"11";"Representing gazetteers and period thesauri in four-dimensional space-time";"Franco Niccolucci";"Sorin Hermon";"2016"
"12";"CRMba a CRM extension for the documentation of standing buildings";"Achille Felicetti";"Franco Niccolucci";"2016"
"14";"Alignment of conceptual structures in controlled vocabularies in the domain of Chinese art: a discussion of issues and patterns";"Hsueh-hua Chen";"Marcia Lei Zeng";"2016"
"16";"Improving interoperability using vocabulary linked data";"Ceri Binding";"Douglas Tudhope";"2016"
"19";"Semantic Network Services";"Adam Farquhar";"Thomas Bandholtz";"2003"
"20";"From Legacy Knowledge Organization Systems to Full-Fledged Ontologies";"Dagobert Soergel";"Katy Newton";"2003"
"30";"SKOS: New Dimensions in Interoperability";"Ed Summers";"Jon Phipps";"2008"
"39";"Simple Knowledge Organization System (SKOS) Update and Implementation at the Library of Congress";"Ed Summers";"Rebecca Guenther";"2009"
"51";"When is Semantic Search Really Semantic Search?";"Jake Spiegler";"Thomas Burdick";"2012"
"55";"The Value Proposition for Semantic Search: A User Panel";"Diane Hillmann";"George Thomas";"2012"
"55";"The Value Proposition for Semantic Search: A User Panel";"Farah Gheriss";"George Thomas";"2012"
"58";"Building semantic knowledge organization systems for interdisciplinary research: An example of wetland remote sensing";"Liu Zheng";"Sun Tan";"2015"
"58";"Building semantic knowledge organization systems for interdisciplinary research: An example of wetland remote sensing";"Sheng Chun Lei";"Sun Tan";"2015"
"58";"Building semantic knowledge organization systems for interdisciplinary research: An example of wetland remote sensing";"Liu Xiu Min";"Sun Tan";"2015"
"62";"A role of Ontology in Social data Analytics";"Sam Oh";"Seonghun Kim";"2015"
"62";"A role of Ontology in Social data Analytics";"Jinhyeong Lee";"Seonghun Kim";"2015"
"67";"And the winner is ... The perils and pitfalls of rank order analysis";"Elin K. Jacob";"Nicolas L. George";"2011"
"67";"And the winner is ... The perils and pitfalls of rank order analysis";"Gary Arave";"Nicolas L. George";"2011"
"68";"How doctors apply semantic components to specify search in work-related information retrieval";"Marianne Lykke Nielsen";"Susan Price";"2011"
"68";"How doctors apply semantic components to specify search in work-related information retrieval";"Lois Delcambre";"Susan Price";"2011"
"71";"Freely faceted classification for Web-based information retrieval";"Claudio Gnoli";"Hong Mei";"2006"
"75";"Mapping AGROVOC and the Chinese Agricultural Thesaurus: Definitions, tools, procedures";"Anita Liang";"Margherita Sini";"2006"
"76";"Introduction to Knowledge Organization Systems and Services";"Douglas Tudhope";"Marianne Lykke Nielsen";"2006"
"78";"Integrating Semi-formal Knowledge Organization Structures";"Gilles Falquet";"Luka Nerima";"2006"
"78";"Integrating Semi-formal Knowledge Organization Structures";"Claire-Lise Mottaz Jiang";"Luka Nerima";"2006"
"78";"Integrating Semi-formal Knowledge Organization Structures";"Jean-Claude Ziswiler";"Luka Nerima";"2006"
"79";"Role of Ontologies in Semantic Digital Libraries";"Adam Westerski";"Bernhard Haslhofer";"2006"
"80";"AGROVOC and the OWL Web Ontology Language: the Agriculture Ontology Service - Concept Server OWL model";"Boris Lauser";"Margherita Sini";"2006"
"80";"AGROVOC and the OWL Web Ontology Language: the Agriculture Ontology Service - Concept Server OWL model";"Anita Liang";"Margherita Sini";"2006"
"80";"AGROVOC and the OWL Web Ontology Language: the Agriculture Ontology Service - Concept Server OWL model";"Johannes Keizer";"Margherita Sini";"2006"
"82";"Design of a Pilot SRW-compliant Terminologies Mapping Service (HILT)";"Dennis Nicholson";"Emma McCulloch";"2006"
"84";"The Feasibility of Using the Semantic Components Model for Indexing Documents in Digital Libraries";"Lois Delcambre";"Marianne Lykke Nielsen";"2006"
"85";"Guava: Capturing the Intrinsic Organization of Knowledge in User Interfaces";"James Terwilliger";"Lois Delcambre";"2006"
"85";"Guava: Capturing the Intrinsic Organization of Knowledge in User Interfaces";"Judith Logan";"Lois Delcambre";"2006"
"91";"Tagging tagging. A classification model for user keywords in scientific bibliography management systems";"Markus Heckner";"Susanne Mühlbacher";"2007"
"91";"Tagging tagging. A classification model for user keywords in scientific bibliography management systems";"Christian Wolff";"Susanne Mühlbacher";"2007"
"93";"Collaborative Building of Controlled Vocabulary Crosswalks";"Mateusz Kaczmarek";"Sebastian Ryszard Kruk";"2007"
"93";"Collaborative Building of Controlled Vocabulary Crosswalks";"Adam Gzella";"Sebastian Ryszard Kruk";"2007"
"94";"Results from a German terminology mapping effort: intra- and interdisciplinary cross-concordances between controlled vocabularies";"Philipp Mayr";"Vivien Petras";"2007"
"94";"Results from a German terminology mapping effort: intra- and interdisciplinary cross-concordances between controlled vocabularies";"Anne-Kathrin Walter";"Vivien Petras";"2007"
"104";"Towards a comprehensive international Knowledge Organisation System";"Felix Boteram";"Jessica Hubrich";"2008"
"106";"TRSS - Terminology Registry Scoping study";"Douglas Tudhope";"Koraljka Golub";"2008"
"109";"Indexing with semantic components improve information retrieval in domain-specific web portal";"Marianne Lykke Nielsen";"Susan Price";"2008"
"109";"Indexing with semantic components improve information retrieval in domain-specific web portal";"Lois Delcambre";"Susan Price";"2008"
"111";"Semantic Portal Business and Economics";"Kai Eckert";"Magnus Pfeffer";"2008"
"114";"Exploiting taxonomies' broadening for enhanced tagging: damped concept clustering";"Christoph Wieser";"Francois Bry";"2008"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Koraljka Golub";"Vanda Broughton";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"George Buchanan";"Vanda Broughton";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Emlyn Everitt";"Vanda Broughton";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Marianne Lykke Nielsen";"Vanda Broughton";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Dagobert Soergel";"Vanda Broughton";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Douglas Tudhope";"Vanda Broughton";"2009"
"119";"Intra- and interdisciplinary cross-concordance for information retrieval";"Philipp Mayr";"Philipp Schaer";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Andrea Kavanaugh";"Edward Fox";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Donald Shoemaker";"Edward Fox";"2009"
"121";"The PERsonalisation TAgging interface INformation in Services, PERTAINS project: presenting tag recommenders in UK national services";"Andy Priest";"Janine Rigby";"2009"
"121";"The PERsonalisation TAgging interface INformation in Services, PERTAINS project: presenting tag recommenders in UK national services";"Caroline Williams";"Janine Rigby";"2009"
"121";"The PERsonalisation TAgging interface INformation in Services, PERTAINS project: presenting tag recommenders in UK national services";"Ceri Binding";"Janine Rigby";"2009"
"121";"The PERsonalisation TAgging interface INformation in Services, PERTAINS project: presenting tag recommenders in UK national services";"Douglas Tudhope";"Janine Rigby";"2009"
"122";"KOS interoperability through mapping, in the aquatic sciences field";"Carmen Reverté";"Montserrat Sebastià Salat";"2009"
"124";"User interface design for search-term recommendation and interactive query expansion services";"Philipp Schaer";"York Sure";"2009"
"125";"Identifying management issues in networked KOS: examples from classification schemes";"Aida Slavic";"Antoine Isaac";"2009"
"127";"SKOS and semantic web best practice to access terminological resources: NatureSDIPlus and CHRONIOUS hands-on experience";"Franca Giannini";"Monica De Martino";"2010"
"128";"KOS-based tools for archaeological dataset interoperability";"Ceri Binding";"Douglas Tudhope";"2010"
"133";"Users and KOSs: When Can We Trust Those Two Together for Conceptual Query Expansion?";"Anna Mastora";"Sarantos Kapidakis";"2010"
"136";"The public library catalogue as a social space: Transaction log analysis of user interaction with social discovery systems";"Alyssa Graybeal";"Laurel Tarulli";"2010"
"142";"Europeana and semantic alignment of vocabularies";"Antoine Isaac";"Jacco van Ossenbruggen";"2011"
"142";"Europeana and semantic alignment of vocabularies";"Guus Schreiber";"Jacco van Ossenbruggen";"2011"
"145";"Evaluating approaches to automatically match thesauri from different domains for Linked Open Data";"Ahsan Morshed";"Benjamin Zapilko";"2011"
"151";"Extracting Dewey Decimal Classifications from Dublin Core Metadata Records With the DISTIL Project: Preliminary Findings and Observations";"Ceri Binding";"Douglas Tudhope";"2012"
"153";"Creation of custom KOS-based recommendation systems";"Thomas Lüke";"Wilko van Hoek";"2012"
"153";"Creation of custom KOS-based recommendation systems";"Philipp Schaer";"Wilko van Hoek";"2012"
"153";"Creation of custom KOS-based recommendation systems";"Philipp Mayr";"Wilko van Hoek";"2012"
"154";"Demonstrating HIVE and HIVE-ES: Supporting Term Browsing and Automatic Text Indexing with Linked Open Vocabularies";"David Rodríguez Mateos";"Gema Bueno de la Fuente";"2012"
"154";"Demonstrating HIVE and HIVE-ES: Supporting Term Browsing and Automatic Text Indexing with Linked Open Vocabularies";"Craig Willis";"Gema Bueno de la Fuente";"2012"
"154";"Demonstrating HIVE and HIVE-ES: Supporting Term Browsing and Automatic Text Indexing with Linked Open Vocabularies";"Eva Méndez";"Gema Bueno de la Fuente";"2012"
"159";"Visualization of Candidate Terms for Classification of Papers";"Jan Buzydlowski";"Lillian Cassel";"2013"
"162";"Digging into Metadata";"Ceri Binding";"Douglas Tudhope";"2013"
"162";"Digging into Metadata";"Diana Massam";"Douglas Tudhope";"2013"
"163";"Demonstrating a Framework for KOS-based Recommendations Systems";"Philipp Mayr";"Thomas Lüke";"2013"
"163";"Demonstrating a Framework for KOS-based Recommendations Systems";"Philipp Schaer";"Thomas Lüke";"2013"
"164";"Pennants for Descriptors";"Howard D. White";"Philipp Mayr";"2013"
"169";"PROV-O profile creation for describing and tracking editorial actions on Controlled Vocabularies";"Jean Delahousse";"Johan De Smedt";"2014"
"169";"PROV-O profile creation for describing and tracking editorial actions on Controlled Vocabularies";"Agis Papantoniou";"Johan De Smedt";"2014"
"171";"Semantic Analysis Method (SAM): A Tool for Identifying Potential Access Points in Unstructured Text";"Karen F. Gracy";"Sammy Davidson";"2014"
